Barcode,Confidence,Coordinate_Radius_Meters,Coordinate_Source,Country,Country_Processed,Elevation,Elevation_Original,Exact_Site,Latitude,Longitude,Processing_Notes,Region,Sector,State,label_verbatim,lat_manual,long_manual,radius_km_manual,distance_meters,within radius
10809277,medium,5000,estimated,United Kingdom,United Kingdom,,,Audcent,51.4545,-2.5879,"District name expanded, coordinates estimated for Bristol district",Bristol,,England,Bristol Dist. (Audcent),51.45451,-2.5879,,1.111949266,1.111949266
10809065,medium,5000,estimated,United Kingdom,United Kingdom,,,Killarney,52.0599,-9.5044,Coordinates estimated for Killarney town center,County Kerry,,Ireland,"S. Ireland, Killarney",52.05993,-9.50442,,3.605202694,3.605202694
10808075,medium,2000,estimated,United Kingdom,United Kingdom,,,"Nr. Roundhay, Leeds",53.8301,-1.507,"Coordinates estimated for Leeds area, near Roundhay",West Yorkshire,,England,"Nr. Roundhay, Leeds",53.83058,-1.50737,1.5,58.6371338,-2941.362866
10810985,medium,3000,estimated,United Kingdom,United Kingdom,,,Aberystwyth,52.4145,-4.0828,Region name 'Cardigan' converted to modern administrative name Ceredigion,Ceredigion,,Wales,"Wales, Cardigan, Aberystwyth",52.415095,-4.082962,,67.06708779,67.06708779
10810340,medium,2000,estimated,United Kingdom,United Kingdom,,,,52.9548,-1.1081,"Coordinates estimated for Colwick Woods, Nottingham",Nottinghamshire,Colwick Woods,England,"England, Nottingham, Colwick Woods",52.95414,-1.10764,,79.59562742,79.59562742
10807102,medium,3000,estimated,United Kingdom,United Kingdom,,,Banbury,52.0621,-1.3395,County abbreviation 'Oxon.' expanded to Oxfordshire,Oxfordshire,,England,"Banbury, Oxon",52.0629,-1.33977,2.6,90.85073328,-5109.149267
10811533,medium,2000,estimated,United Kingdom,Ireland,,,Kenmare,51.88086,-9.58417,Coordinates estimated for town center,County Kerry,,,"Kenmare, Ireland",51.8801,-9.58352,,95.56294125,95.56294125
10265554,medium,3000,estimated,United Kingdom,United Kingdom,,,Deal,51.224167,1.401389,Coordinates estimated for town center,Kent,,England,Deal,51.2225,1.4017,3.1,186.6229319,-6013.377068
10808631,medium,3000,estimated,United Kingdom,United Kingdom,,,Lowestoft,52.47917,1.75221,Coordinates estimated for town center,Suffolk,,England,Lowestoft.,52.4811,1.7534,9.2,229.2387301,-18170.76127
10807758,medium,2000,estimated,United Kingdom,United Kingdom,,,Baile Mor,56.328611,-6.392222,"Coordinates estimated for Iona, Isle of Mull region",Argyll and Bute,Isle of Iona,Scotland,"Iona, Baile Mor",56.330886,-6.394543,,290.6307927,290.6307927
10811340,medium,2000,estimated,United Kingdom,United Kingdom,,,Cley Beach,52.9519,1.0615,Coordinates estimated for Cley Beach area in Norfolk,Norfolk,Salt Marsh,England,"Salt Marsh, Norfolk, Cley Beach",52.95415,1.05921,,293.4777066,293.4777066
10807808,medium,2000,estimated,United Kingdom,United Kingdom,,,Golspie,57.97167,-3.97222,"Coordinates estimated for town of Golspie in Sutherland, Scotland",Sutherland,,Scotland,Golspie,57.9734,-3.9761,3.2,298.9237367,-6101.076263
10808450,medium,3000,estimated,United Kingdom,United Kingdom,,,Margate,51.38693,1.38626,Coordinates estimated for town center,Kent,,England,Margate,51.3896,1.3868,3.3,299.2457007,-6300.754299
10808569,medium,2000,estimated,United Kingdom,United Kingdom,,,Edale,53.3647,-1.818,"Coordinates estimated for Edale, Derbyshire",Derbyshire,,England,"England, Derbyshire, Edale",53.36727,-1.81576,,322.10906,322.10906
10809230,medium,3000,estimated,United Kingdom,United Kingdom,,,Wimborne,50.80334,-1.98254,Coordinates estimated for town center,Dorset,,England,Wimborne,50.8007,-1.9845,2.6,324.2631069,-4875.736893
10807777,medium,3000,estimated,United Kingdom,United Kingdom,,,Peebles,55.6506,-3.1907,Coordinates estimated for town of Peebles,Scottish Borders,,Scotland,"Scotland, Peebles",55.65307,-3.19364,,330.8407472,330.8407472
10807446,medium,2000,estimated,United Kingdom,United Kingdom,,,,54.8147,-1.5739,DM likely abbreviation for Durham; coordinates estimated for Finchale area,Durham,Finchale,England,"England, DM: Finchale",54.8118124,-1.5753647,,334.521383,334.521383
10807287,medium,2000,estimated,United Kingdom,United Kingdom,,,Widdecombe,50.573,-3.8158,Coordinates estimated for Widdecombe in Devon,Devon,,England,"Devon, Widdecombe",50.575,-3.8122,1.2,337.7678546,-2062.232145
