Barcode	label_verbatim	Country	lat_manual	long_manual	radius_km_manual
ODO000001	1st label: Uganda, Gulu Dr., W. Nile; 2nd label: Bududiri, Mt. Elgon, 4,200 ft.	Uganda	2.77292	32.28693	105.0
ODO000002	20 m. W. Kampala, Uganda	Uganda	0.309172	32.302463	9.0
ODO000003	20m. W. Kampala, Uganda	Uganda	0.309172	32.302463	9.0
ODO000004	30 m E Darwin, N.T.	Australia	-12.451315	131.289462	18.0
ODO000005	5-fingered Mt., Hainan	China	18.898373	109.704167	5.0
ODO000006	5-fingered Mt., Hainan.	China	18.898373	109.704167	5.0
ODO000007	5-fingered Mts., Hainan	China	18.898373	109.704167	5.0
ODO000008	A. Grey's Reach, Vaisigano R. 1900'	Samoa	-13.832696	-171.759612	0.3
ODO000009	Abyssinia, Zegi Tsana	Ethiopia	11.692409	37.312664	6.0
ODO000010	Acambaro, Mexico	Mexico	20.024993	-100.723342	4.5
ODO000011	Africa, Nyasaland, Zomba	Malawi	-15.377161	35.329971	6.0
ODO000012	Africa: Kenya, Thompson's Falls	Kenya	0.040895	36.367069	1.0
ODO000013	Agulu, Nigeria	Nigeria	6.116907	7.038425	3.0
ODO000014	Alexandra, Vic.	Australia	-37.199001	145.733159	8.0
ODO000015	Algeria; Constantina	Algeria	36.356834	6.639049	16.0
ODO000016	alt 6000 ft, Ruwinzori East	Uganda	0.264838	30.121437	15.0
ODO000017	Alu	Solomon Islands	-7.052662	155.762135	12.0
ODO000018	Alu, Solomon Is.	Solomon Islands	-7.052662	155.762135	12.0
ODO000019	Amani T.T., E. Usambara	Tanzania	-5.031453	38.494604	17.5
ODO000020	Amaz		-3.0	-63.5	1500.0
ODO000021	Amaz.		-3.0	-63.5	1500.0
ODO000022	Amoy	China	24.484435	118.085317	48.0
ODO000023	Amula, Guerrero, 6000 ft.	Mexico	17.638311	-99.294865	1.0
ODO000024	Amur Land		53.442007	123.980007	1140.0
ODO000025	Anamba Is., Telok Padang, Jimaja	Indonesia	2.979197	105.735346	5.0
ODO000026	Aneit.	Vanuata	-20.188738	169.818289	9.0
ODO000027	Angola Mss, Mupa	Angola	-16.179198	15.76185	25.0
ODO000028	Angola MSs, Sangeve	Angola	-13.886221	15.82689	3.5
ODO000029	Angola, Miss sc. suisse, Ebanga	Angola	-12.735128	14.735997	6.0
ODO000030	Angola, Miss. sc. Suisse, Bimbi	Angola	-8.03918	14.705107	1.0
ODO000031	Angola, Miss. sc. suisse, Lunda	Angola	-6.316667	13.983376	14.0
ODO000032	Angola, Miss. sc. suisse, Sangeve	Angola	-13.886221	15.82689	3.5
ODO000033	Ani Sakan, N. Shan Sts, Burm.	Myanmar	21.968957	96.406001	4.0
ODO000034	Apia, Samoa	Samoa	-13.850241	-171.752021	7.0
ODO000035	Ara, West Madi, West Nile, Uganda	Uganda	2.451152	30.804454	3.0
ODO000036	Aru	Indonesia	-6.166667	134.5	94.0
ODO000037	Aru Isl	Indonesia	-6.166667	134.5	94.0
ODO000038	Assam, 5000 ft., Shillong	India	25.58547	91.890374	9.0
